Player,Position,Price
Jack Hinshelwood,"DF,MF",€9.2M
Dan Burn,DF,€9.1M
Oliver Scarles,DF,€8.7M
Nélson Semedo,DF,€8.4M
Jorge Cuenca,DF,€7.8M
Luke Thomas,DF,€7.8M
Ethan Pinnock,DF,€7.6M
Kieran Tierney,"DF,FW",€7.4M
Lewis Dunk,DF,€7.4M
Ayden Heaven,DF,€6.7M
Nathan Wood-Gordon,DF,€6.1M
Lamare Bogarde,"DF,MF",€6M
Tyrone Mings,DF,€5.8M
Joël Veltman,DF,€5.7M
Ben Davies,DF,€5.6M
Sergio Reguilón,DF,€5.6M
Kieran Trippier,DF,€5.1M
Vladimír Coufal,DF,€4.8M
Diego Carlos,DF,€4.4M
Axel Tuanzebe,DF,€4.2M
Matt Doherty,DF,€4.2M
Ricardo Pereira,DF,€4.1M
Welington,"DF,MF",€4M
Ryan Manning,"DF,MF",€3.9M
Michael Keane,DF,€2.3M
Harry Toffolo,DF,€2.2M
Conor Coady,DF,€2.2M
James Hill,DF,€2.1M
Charlie Taylor,DF,€2.1M
Jannik Vestergaard,DF,€2M
Emil Krafth,DF,€2M
Luke Woolfenden,DF,€2M
James Bree,DF,€1.9M
Woyo Coulibaly,DF,€1.9M
Cameron Burgess,DF,€1.7M
Adam Smith,DF,€1.5M
Craig Dawson,DF,€1.5M
Jack Stephens,DF,€1.4M
Willy Boly,DF,€1.4M
Ashley Young,"DF,FW",€1.3M
Conor Townsend,DF,€1.2M
Jonny Evans,DF,€1.1M
Nathaniel Clyne,"DF,MF",€1M
Ben Mee,DF,€0.9M
Aaron Cresswell,DF,€0.8M
Séamus Coleman,DF,€0.7M
Harry Amass,DF,€0.7M
Martin Ødegaard,MF,€126.5M
Cole Palmer,MF,€115.4M
Declan Rice,MF,€107.8M
Alexis Mac Allister,MF,€106.1M
Phil Foden,"MF,FW",€105.7M
Ryan Gravenberch,MF,€85.3M
Bruno Guimarães,MF,€83.2M
Moisés Caicedo,MF,€80.7M
Enzo Fernández,MF,€73.7M
Dominik Szoboszlai,MF,€71.4M
Lucas Paquetá,"MF,FW",€71.2M
Kobbie Mainoo,MF,€66M
Matheus Cunha,"MF,FW",€62.6M
Eberechi Eze,"MF,FW",€62.2M
Amadou Onana,MF,€62.1M
Morgan Gibbs-White,MF,€61.7M
Curtis Jones,"MF,DF",€61.7M
Alejandro Garnacho,"MF,FW",€60.7M
Dejan Kulusevski,"MF,FW",€60.5M
Manuel Ugarte Ribeiro,MF,€60.4M
James Maddison,MF,€58.1M
Bruno Fernandes,MF,€54.8M
Roméo Lavia,MF,€54.6M
Sandro Tonali,MF,€52.9M
Carlos Baleba,MF,€52.4M
João Gomes,MF,€51.1M
Pape Matar Sarr,MF,€50.8M
Bernardo Silva,"MF,FW",€50M
Adam Wharton,MF,€48.9M
Harvey Elliott,"MF,FW",€48.5M
Nicolás González,MF,€48.4M
Joelinton,"MF,FW",€47.5M
Elliot Anderson,MF,€46.5M
Boubacar Kamara,MF,€46.3M
Justin Kluivert,"MF,FW",€44.8M
Youri Tielemans,MF,€41.5M
Georginio Rutter,"MF,FW",€41.3M
Emile Smith Rowe,MF,€40.8M
Bilal El Khannouss,MF,€40.6M
Mikel Merino,"MF,FW",€40.5M
Cheick Doucouré,MF,€37.2M
Danilo,"MF,FW",€36.9M
Edson Álvarez,MF,€36.5M
Joe Willock,"MF,FW",€35.8M
Mason Mount,"MF,FW",€35.5M
Ibrahim Sangaré,MF,€34.6M
Lucas Bergvall,MF,€32.6M
Rodrigo Bentancur,MF,€31.5M
André,MF,€29.8M
Yves Bissouma,MF,€29.8M
Mikkel Damsgaard,"MF,FW",€28.6M
Lewis Miley,MF,€28.5M
Sander Berge,MF,€27.8M
Alex Scott,MF,€27.6M
Omari Hutchinson,"MF,FW",€27.4M
Vitaly Janelt,MF,€27.1M
Lesley Ugochukwu,MF,€27M
Dwight McNeil,"MF,FW",€27M
Luis Guilherme,"MF,FW",€26.6M
Ismaila Sarr,"MF,FW",€25.7M
Matt O'Riley,MF,€25.6M
Mateo Kovačić,MF,€25.3M
Kiernan Dewsbury-Hall,"MF,FW",€24.9M
Tyler Adams,MF,€24.4M
Orel Mangala,MF,€24.4M
Carlos Soler,"MF,FW",€23.4M
Tomáš Souček,MF,€23.2M
James Garner,"MF,DF",€23.2M
Mateus Fernandes,MF,€22.5M
John McGinn,"MF,FW",€22.5M
Yasin Ayari,MF,€21.4M
Jean-Ricner Bellegarde,"MF,FW",€21.3M
Sean Longstaff,MF,€21.3M
Wilfred Ndidi,MF,€20.3M
Kevin De Bruyne,"MF,FW",€20.1M
James Mcatee,"MF,FW",€19.8M
Marco Asensio,"MF,FW",€19.6M
Lewis Cook,"MF,DF",€19.3M
Andreas Pereira,MF,€19M
Nicolás Domínguez,"MF,FW",€18.8M
Ryan Yates,MF,€18.3M
Marshall Munetsi,"MF,FW",€18.3M
Yehor Yarmoliuk,MF,€18M
Hwang Hee-chan,"MF,FW",€17.6M
Kalvin Phillips,MF,€17.2M
Oliver Skipp,MF,€17M
Mats Wieffer,"MF,DF",€16.8M
Gonçalo Guedes,"MF,FW",€16.2M
Ryan Christie,MF,€16.2M
Jens Cajuste,MF,€15.5M
Boubakary Soumaré,MF,€15.4M
Thomas Partey,"MF,DF",€15.2M
Mathias Jensen,MF,€14.7M
Daichi Kamada,MF,€14.6M
Christian Nørgaard,MF,€14.4M
Tommy Doyle,MF,€14M
Tim Iroegbunam,MF,€13.8M
Guido Rodríguez,MF,€13.6M
Jefferson Lerma,"MF,DF",€13.6M
Carlos Forbs,"MF,FW",€13M
Odsonne Édouard,"MF,FW",€12.4M
Saša Lukić,MF,€12.1M
İlkay Gündoğan,MF,€12.1M
Casemiro,MF,€11.6M
Harry Winks,MF,€11.4M
James Ward-Prowse,MF,€11.2M
Will Hughes,MF,€11.1M
Wataru Endo,MF,€11.1M
Toby Collyer,MF,€10.7M
Conor Chaplin,"MF,FW",€9.8M
Flynn Downes,MF,€9.2M
William Smallbone,MF,€8.4M
Ross Barkley,MF,€7.3M
Justin Devenny,MF,€6.9M
Joe Aribo,"MF,DF",€6.9M
Harrison Reed,MF,€6.7M
Andy Irving,MF,€6.5M
Nathan Broadhead,"MF,FW",€6.1M
Abdoulaye Doucouré,MF,€5.8M
Jorginho,MF,€5.3M
Idrissa Gana Gueye,MF,€5M
Pablo Sarabia,"MF,FW",€4.9M
Christian Eriksen,MF,€4.2M
Jack Taylor,MF,€3.8M
Tom Cairney,MF,€1.5M
Sam Morsy,MF,€1.3M
James Milner,MF,€1.2M
Adam Lallana,MF,€0.9M
Edmond-Paris Maghoma,"MF,FW",€0.8M
Massimo Luongo,MF,€0.5M
Erling Haaland,FW,€198.8M
Alexander Isak,FW,€120.3M
Bukayo Saka,"FW,MF",€101.3M
Omar Marmoush,"FW,MF",€79.1M
Sávio,"FW,MF",€74.8M
Ethan Nwaneri,"FW,MF",€74.3M
Brennan Johnson,FW,€71.3M
Luis Díaz,FW,€71M
Kai Havertz,"FW,MF",€70.5M
Morgan Rogers,"FW,MF",€69M
Cody Gakpo,FW,€67.5M
Nicolas Jackson,FW,€66.2M
Jeremy Doku,"FW,MF",€66.2M
Gabriel Martinelli,"FW,MF",€62.6M
Mohammed Kudus,"FW,MF",€61.7M
Ollie Watkins,FW,€61.4M
João Pedro,"FW,MF",€61.3M
Darwin Núñez,FW,€60.9M
Pedro Neto,FW,€60.6M
Diogo Jota,FW,€58.6M
Bryan Mbeumo,FW,€57.2M
Mathys Tel,FW,€56.4M
Rasmus Højlund,FW,€54.9M
Marcus Rashford,"FW,MF",€53.6M
Dominic Solanke,FW,€52.1M
Christopher Nkunku,FW,€51.7M
Noni Madueke,FW,€51.6M
Kaoru Mitoma,"FW,MF",€50.6M
Anthony Gordon,FW,€49.5M
Evan Ferguson,FW,€48.5M
Amad Diallo,"FW,MF",€48.5M
Jarrod Bowen,"FW,MF",€48.1M
Antoine Semenyo,FW,€47.7M
Jacob Ramsey,"FW,MF",€45.8M
Gabriel Jesus,FW,€45.6M
Anthony Elanga,"FW,MF",€45.5M
Joshua Zirkzee,"FW,MF",€43.7M
Jack Grealish,"FW,MF",€43.5M
Yankuba Minteh,"FW,MF",€42.6M
Harvey Barnes,FW,€41.5M
Leon Bailey,"FW,MF",€39.2M
Mohamed Salah,FW,€38.5M
Mykhailo Mudryk,FW,€37.8M
Jadon Sancho,FW,€37.7M
Liam Delap,FW,€37M
Simon Adingra,"FW,MF",€34M
Tyler Dibling,"FW,MF",€32.7M
Leandro Trossard,FW,€31.8M
Jean-Philippe Mateta,FW,€31.7M
Yoane Wissa,FW,€31.4M
Jørgen Strand Larsen,FW,€30.8M
Facundo Buonanotte,"FW,MF",€30.7M
Son Heung-min,FW,€30.7M
Alex Iwobi,"FW,MF",€30.3M
Callum Hudson-Odoi,"FW,MF",€30.2M
Kevin Schade,FW,€29.7M
Brajan Gruda,"FW,MF",€29.4M
Dango Ouattara,FW,€28.5M
Evanilson,FW,€26.9M
Richarlison,FW,€26.7M
Crysencio Summerville,"FW,MF",€25.9M
Thiago,FW,€25.9M
Iliman Ndiaye,FW,€25.7M
Wilson Odobert,FW,€25.1M
Julio Enciso,"FW,MF",€24.9M
Eddie Nketiah,"FW,MF",€24.8M
Jesper Lindstrøm,FW,€24.4M
Marcus Tavernier,"FW,MF",€24.4M
Beto,FW,€24.4M
Mikey Moore,"FW,MF",€23.7M
Jaden Philogene Bidace,"FW,MF",€22.3M
Abdul Fatawu Issahaku,FW,€21.9M
Donyell Malen,FW,€21.4M
Fabio Carvalho,"FW,MF",€20.6M
Taiwo Awoniyi,FW,€20.2M
Jack Clarke,"FW,MF",€19.4M
Armando Broja,FW,€18.6M
Cameron Archer,FW,€18.6M
Kamaldeen Sulemana,"FW,MF",€18.5M
Jacob Murphy,FW,€17.9M
Dominic Calvert-Lewin,FW,€17.8M
Jack Harrison,FW,€17.7M
Raheem Sterling,"FW,MF",€17.5M
Jota Silva,"FW,MF",€17.4M
Ramón Sosa,"FW,MF",€17.4M
Albert Grønbaek,"FW,MF",€16.6M
Enes Ünal,"FW,MF",€16.4M
Tyrique George,FW,€15.7M
Luis Sinisterra,"FW,MF",€15.4M
Harry Wilson,"FW,MF",€14.5M
Sammie Szmodics,"FW,MF",€14.1M
Patson Daka,"FW,MF",€14M
Niclas Füllkrug,FW,€13.4M
David Brooks,"FW,MF",€13M
Stephy Mavididi,FW,€12.9M
Paul Onuachu,FW,€12.7M
Ryan Sessegnon,"FW,DF",€11.8M
William Osula,FW,€10.3M
Timo Werner,"FW,MF",€10.3M
Chiedozie Ogbene,FW,€9.8M
Rodrigo Muniz,FW,€8.2M
Adama Traoré,"FW,MF",€8M
Chris Wood,FW,€7.8M
George Hirst,FW,€7.7M
Solly March,"FW,MF",€7.3M
Callum Wilson,FW,€7.3M
Danny Welbeck,FW,€6M
Raúl Jiménez,FW,€5.1M
Danny Ings,"FW,MF",€4.6M
Ross Stewart,FW,€2.8M
Bobby De Cordova-Reid,FW,€2.7M
Ryan Fraser,"FW,DF",€2.3M
Wes Burns,"FW,DF",€2.1M
Kasey McAteer,"FW,MF",€1.5M
Willian,"FW,MF",€1.3M
Jamie Vardy,FW,€1M
Michail Antonio,FW,€1.0M
