,Median of Age,Mean of Age,Std of Age,Median of Matches Played,Mean of Matches Played,Std of Matches Played,Median of Starts,Mean of Starts,Std of Starts,Median of Minutes,Mean of Minutes,Std of Minutes,Median of Gls,Mean of Gls,Std of Gls,Median of Ast,Mean of Ast,Std of Ast,Median of crdY,Mean of crdY,Std of crdY,Median of crdR,Mean of crdR,Std of crdR,Median of xG,Mean of xG,Std of xG,Median of xAG,Mean of xAG,Std of xAG,Median of PrgC,Mean of PrgC,Std of PrgC,Median of PrgP,Mean of PrgP,Std of PrgP,Median of PrgR,Mean of PrgR,Std of PrgR,Median of Gls per 90,Mean of Gls per 90,Std of Gls per 90,Median of Ast per 90,Mean of Ast per 90,Std of Ast per 90,Median of xG per 90,Mean of xG per 90,Std of xG per 90,Median of xAG per 90,Mean of xAG per 90,Std of xAG per 90,Median of GA90,Mean of GA90,Std of GA90,Median of Save%,Mean of Save%,Std of Save%,Median of CS%,Mean of CS%,Std of CS%,Median of PK Save%,Mean of PK Save%,Std of PK Save%,Median of SoT%,Mean of SoT%,Std of SoT%,Median of SoT per 90,Mean of SoT per 90,Std of SoT per 90,Median of G per Sh,Mean of G per Sh,Std of G per Sh,Median of Dist,Mean of Dist,Std of Dist,Median of Cmp,Mean of Cmp,Std of Cmp,Median of Cmp%,Mean of Cmp%,Std of Cmp%,Median of TotDist,Mean of TotDist,Std of TotDist,Median of ShortCmp%,Mean of ShortCmp%,Std of ShortCmp%,Median of MedCmp%,Mean of MedCmp%,Std of MedCmp%,Median of LongCmp%,Mean of LongCmp%,Std of LongCmp%,Median of KP,Mean of KP,Std of KP,Median of Pass into 1_3,Mean of Pass into 1_3,Std of Pass into 1_3,Median of PPA,Mean of PPA,Std of PPA,Median of CrsPA,Mean of CrsPA,Std of CrsPA,Median of SCA,Mean of SCA,Std of SCA,Median of SCA90,Mean of SCA90,Std of SCA90,Median of GCA,Mean of GCA,Std of GCA,Median of GCA90,Mean of GCA90,Std of GCA90,Median of Tkl,Mean of Tkl,Std of Tkl,Median of TklW,Mean of TklW,Std of TklW,Median of Deff Att,Mean of Deff Att,Std of Deff Att,Median of Lost,Mean of Lost,Std of Lost,Median of Blocks,Mean of Blocks,Std of Blocks,Median of Sh,Mean of Sh,Std of Sh,Median of Pass,Mean of Pass,Std of Pass,Median of Int,Mean of Int,Std of Int,Median of Touches,Mean of Touches,Std of Touches,Median of Def Pen,Mean of Def Pen,Std of Def Pen,Median of Def 3rd,Mean of Def 3rd,Std of Def 3rd,Median of Mid 3rd,Mean of Mid 3rd,Std of Mid 3rd,Median of Att 3rd,Mean of Att 3rd,Std of Att 3rd,Median of Att Pen,Mean of Att Pen,Std of Att Pen,Median of Take-Ons Att,Mean of Take-Ons Att,Std of Take-Ons Att,Median of Succ%,Mean of Succ%,Std of Succ%,Median of Tkld%,Mean of Tkld%,Std of Tkld%,Median of Carries,Mean of Carries,Std of Carries,Median of ProDist,Mean of ProDist,Std of ProDist,Median of Carries 1_3,Mean of Carries 1_3,Std of Carries 1_3,Median of CPA,Mean of CPA,Std of CPA,Median of Mis,Mean of Mis,Std of Mis,Median of Dis,Mean of Dis,Std of Dis,Median of Rec,Mean of Rec,Std of Rec,Median of Rec PrgR,Mean of Rec PrgR,Std of Rec PrgR,Median of Fls,Mean of Fls,Std of Fls,Median of Fld,Mean of Fld,Std of Fld,Median of Off,Mean of Off,Std of Off,Median of Crs,Mean of Crs,Std of Crs,Median of Recov,Mean of Recov,Std of Recov,Median of Aerl Won,Mean of Aerl Won,Std of Aerl Won,Median of Aerl Lost,Mean of Aerl Lost,Std of Aerl Lost,Median of Aerl Won%,Mean of Aerl Won%,Std of Aerl Won%
Leicester City,26.57,26.96,4.35,21.0,19.96,9.82,14.0,14.76,10.17,1391.0,1325.36,841.27,0.0,0.96,1.88,0.0,0.88,1.2,2.0,3.04,2.67,0.0,0.0,0.0,0.4,1.11,2.18,0.4,0.92,1.16,14.0,20.2,23.04,30.0,38.92,35.68,19.0,36.72,40.69,0.0,0.05,0.08,0.0,0.06,0.09,0.04,0.06,0.08,0.02,0.07,0.08,0.0,0.32,0.94,0.0,6.63,18.73,0.0,0.72,2.92,0.0,1.0,5.0,26.9,28.99,25.03,0.2,0.27,0.27,0.0,0.04,0.07,16.1,14.92,8.59,430.0,505.56,378.14,77.8,78.32,8.5,6775.0,8504.08,6546.48,89.6,88.87,7.11,83.7,84.82,8.99,53.7,55.7,17.8,6.0,8.84,9.47,27.0,35.32,32.26,5.0,7.52,8.57,1.0,2.28,3.98,14.0,20.32,18.98,1.27,1.33,0.99,1.0,1.92,2.41,0.1,0.12,0.15,21.0,25.92,22.76,11.0,15.16,13.8,18.0,24.88,22.13,10.0,12.8,12.11,17.0,17.8,14.29,4.0,7.04,8.25,8.0,10.76,8.77,9.0,11.76,12.15,804.0,779.16,534.03,39.0,104.8,170.09,166.0,291.76,287.82,324.0,353.52,284.15,99.0,140.72,134.81,15.0,21.36,24.52,11.0,21.44,26.57,40.6,40.26,30.12,47.1,44.34,28.26,465.0,441.52,292.5,1055.0,1089.68,763.29,7.0,12.48,12.15,2.0,4.88,6.35,13.0,15.88,14.37,8.0,10.72,12.48,483.0,496.12,336.62,19.0,36.72,40.69,12.0,13.88,10.69,11.0,12.08,9.79,1.0,2.12,4.95,8.0,21.24,27.63,40.0,51.64,37.85,11.0,17.32,17.03,15.0,18.68,16.8,50.0,45.72,23.61
Liverpool,26.45,27.21,3.69,28.0,25.19,8.93,20.0,18.33,11.92,1717.0,1643.1,977.5,1.0,3.81,6.49,2.0,2.86,3.99,3.0,3.05,2.27,0.0,0.1,0.3,1.7,3.68,5.51,1.2,2.68,3.18,24.0,35.67,36.52,71.0,83.95,68.4,54.0,83.05,111.01,0.04,0.17,0.23,0.16,0.14,0.13,0.07,0.18,0.21,0.11,0.13,0.11,0.0,0.1,0.32,0.0,6.62,20.91,0.0,3.62,11.45,0.0,4.76,21.82,29.6,27.0,17.97,0.35,0.48,0.44,0.06,0.06,0.07,14.3,13.28,6.68,681.0,807.14,634.18,83.8,82.94,7.55,11124.0,13712.95,11314.64,91.7,91.3,5.92,88.3,86.79,9.57,60.8,60.28,15.25,12.0,22.43,22.81,41.0,69.57,71.31,8.0,19.05,23.24,1.0,3.71,5.96,35.0,50.81,45.63,2.54,2.62,1.51,4.0,6.52,6.63,0.32,0.33,0.24,26.0,28.48,23.93,16.0,17.62,14.67,20.0,28.95,28.31,9.0,13.76,14.32,9.0,15.95,14.8,2.0,4.19,4.72,9.0,11.76,12.88,7.0,13.1,15.95,860.0,1139.43,817.56,32.0,102.33,159.9,187.0,314.62,329.94,307.0,513.48,469.27,218.0,321.24,285.08,44.0,57.38,73.49,19.0,29.29,35.42,48.0,52.19,23.5,43.2,36.4,20.02,550.0,655.0,456.14,1598.0,1773.38,1235.22,19.0,24.29,21.19,6.0,14.05,26.18,19.0,23.05,25.33,11.0,14.95,16.17,606.0,798.24,570.07,54.0,83.05,111.01,16.0,19.05,16.48,12.0,15.67,13.55,1.0,2.62,4.4,6.0,32.1,45.27,66.0,70.71,48.99,9.0,18.1,26.13,12.0,16.29,13.13,42.9,50.22,21.82
Manchester City,26.69,27.0,4.91,23.0,19.88,8.97,17.0,15.36,8.63,1494.0,1381.36,766.28,1.0,2.64,4.41,0.0,1.92,2.56,2.0,2.32,1.75,0.0,0.04,0.2,1.3,2.52,4.18,1.5,2.03,2.25,35.0,41.64,45.44,64.0,70.28,60.42,26.0,69.6,78.22,0.06,0.18,0.25,0.0,0.1,0.14,0.07,0.16,0.22,0.07,0.12,0.12,0.0,0.1,0.36,0.0,5.46,18.9,0.0,2.39,8.4,0.0,0.0,0.0,29.7,27.68,22.39,0.33,0.46,0.51,0.08,0.12,0.2,16.3,14.98,7.24,676.0,793.52,591.9,87.7,86.5,6.96,10078.0,12871.28,9746.23,94.4,92.13,6.13,91.9,89.52,7.83,64.3,59.78,12.41,9.0,17.24,16.85,42.0,62.0,64.95,11.0,15.88,16.2,1.0,2.32,3.17,33.0,39.76,33.94,2.08,2.38,1.75,3.0,4.64,4.55,0.26,0.28,0.24,15.0,18.44,17.06,7.0,11.2,10.89,13.0,16.88,15.74,6.0,8.84,8.55,11.0,12.44,9.6,1.0,3.28,4.82,9.0,9.16,7.1,5.0,8.2,8.58,892.0,1033.8,699.04,39.0,78.52,139.29,197.0,241.56,242.91,331.0,447.28,395.87,324.0,353.4,278.86,22.0,48.52,51.76,21.0,29.68,41.02,44.8,44.06,28.56,35.1,34.56,24.92,590.0,664.68,466.35,1714.0,2051.96,1583.71,23.0,31.16,27.55,3.0,14.48,23.37,14.0,17.4,15.12,13.0,14.88,14.51,630.0,783.04,543.8,26.0,69.6,78.22,11.0,10.64,8.18,12.0,13.88,11.47,0.0,1.68,2.46,8.0,23.6,32.25,46.0,53.0,35.29,5.0,11.12,13.49,8.0,11.96,11.12,47.3,45.18,20.94
Manchester Utd,25.72,25.48,5.09,20.0,17.67,11.45,11.5,12.83,10.78,1071.0,1149.67,931.02,0.0,1.33,2.26,0.0,0.93,2.0,2.0,2.6,2.47,0.0,0.1,0.4,0.7,1.6,2.27,0.35,1.2,1.71,10.0,21.07,31.19,22.0,43.2,55.75,14.5,42.7,64.33,0.0,0.07,0.12,0.0,0.04,0.09,0.06,0.13,0.16,0.06,0.08,0.09,0.0,0.18,0.76,0.0,3.41,13.8,0.0,0.91,4.98,0.0,0.83,4.56,21.95,21.16,18.23,0.18,0.37,0.46,0.0,0.04,0.06,15.65,12.64,8.01,286.0,512.87,464.77,82.6,81.95,7.6,3685.5,8413.77,8136.41,90.9,90.26,4.88,86.55,84.87,8.86,54.85,57.91,18.44,6.0,12.2,17.31,18.0,33.93,39.78,5.0,9.93,14.69,1.0,2.2,2.93,14.5,28.27,35.94,1.83,2.17,1.44,0.5,2.2,3.92,0.02,0.12,0.21,13.0,25.1,27.82,8.5,15.13,17.01,10.0,22.03,24.51,5.0,9.93,12.22,8.0,11.6,11.18,1.0,3.27,4.78,6.0,8.33,8.67,5.0,11.47,12.72,517.0,756.27,662.12,22.5,79.2,182.87,126.5,265.83,314.01,206.0,319.6,307.21,78.0,177.87,219.14,17.0,29.03,37.53,5.5,19.5,25.46,42.2,42.91,30.88,49.1,42.09,29.39,310.0,461.83,401.04,744.5,1155.93,1107.44,9.5,14.8,18.16,1.0,7.0,15.25,9.5,15.7,17.77,4.5,11.07,13.8,385.0,508.0,438.91,14.5,42.7,64.33,9.0,12.53,11.67,7.0,11.3,11.57,0.5,2.07,3.16,6.0,19.03,35.2,31.5,53.1,51.33,8.5,14.63,15.98,10.0,15.17,17.61,49.3,46.66,22.75
Newcastle Utd,27.47,27.96,4.73,27.0,23.22,10.14,14.0,16.74,12.59,1503.0,1502.87,1050.91,0.0,2.78,5.19,1.0,2.09,2.84,2.0,2.61,3.03,0.0,0.04,0.21,0.5,2.63,4.44,0.9,1.88,2.28,14.0,29.83,33.44,59.0,63.17,62.65,22.0,62.7,71.59,0.0,0.16,0.26,0.04,0.1,0.13,0.12,0.14,0.16,0.08,0.1,0.09,0.0,0.11,0.36,0.0,6.12,20.28,0.0,3.39,11.72,0.0,2.17,10.43,25.0,21.54,17.06,0.3,0.38,0.41,0.0,0.08,0.11,14.6,14.28,5.69,479.0,616.87,528.14,81.8,79.71,6.83,6849.0,10418.65,9383.74,88.6,87.73,7.61,86.8,85.3,11.2,51.5,49.54,19.74,8.0,15.83,16.59,26.0,45.61,48.61,8.0,15.48,18.77,0.0,2.83,4.66,32.0,37.13,35.94,1.89,2.06,1.39,3.0,4.83,5.38,0.23,0.22,0.21,22.0,24.43,22.02,15.0,14.96,13.69,27.0,24.0,22.21,9.0,11.61,10.76,17.0,17.13,14.19,3.0,5.65,7.19,9.0,11.48,10.29,6.0,11.04,11.85,773.0,923.65,736.16,26.0,91.74,145.62,122.0,301.74,343.44,232.0,387.83,354.66,133.0,243.13,228.07,33.0,43.0,46.89,8.0,26.96,30.86,43.8,39.33,20.37,46.9,41.07,20.53,498.0,525.52,429.86,1519.0,1429.96,1147.04,14.0,18.43,17.45,4.0,10.74,15.92,11.0,19.13,17.67,8.0,17.96,20.32,567.0,612.3,506.4,22.0,62.7,71.59,9.0,15.83,16.94,11.0,18.22,24.1,2.0,3.09,4.32,10.0,27.52,39.35,49.0,66.52,58.24,7.0,19.3,29.01,14.0,18.43,19.7,50.0,49.52,24.05
Nott'ham Forest,26.85,27.12,3.61,31.0,25.24,10.58,20.0,18.1,13.33,1874.0,1628.52,1099.94,1.0,2.52,4.23,1.0,1.81,2.54,3.0,3.81,3.3,0.0,0.05,0.22,1.4,2.0,2.64,1.1,1.42,1.47,13.0,27.33,34.22,36.0,47.38,44.35,20.0,47.57,58.57,0.07,0.12,0.16,0.05,0.08,0.1,0.07,0.12,0.13,0.06,0.08,0.08,0.0,0.06,0.26,0.0,3.54,16.21,0.0,1.77,8.1,0.0,0.0,0.0,31.8,34.8,27.84,0.27,0.43,0.41,0.06,0.07,0.08,18.3,16.83,8.03,472.0,458.05,345.96,75.9,73.6,8.66,6910.0,7849.29,6434.87,87.7,85.99,7.76,81.5,77.5,11.98,45.7,45.38,15.89,12.0,14.62,15.32,29.0,40.9,38.85,9.0,10.33,10.82,1.0,2.67,3.6,29.0,34.48,32.8,1.73,1.87,1.31,2.0,3.9,4.98,0.14,0.2,0.22,21.0,29.86,25.87,13.0,18.14,16.04,20.0,28.76,27.24,8.0,14.33,14.42,11.0,18.95,18.08,4.0,7.05,10.25,9.0,11.9,10.46,12.0,13.86,11.43,1000.0,814.52,570.16,36.0,109.14,180.32,175.0,281.76,294.83,290.0,324.38,269.04,158.0,218.71,209.14,21.0,33.95,32.12,13.0,26.38,28.31,41.9,42.86,28.73,37.5,33.3,24.46,400.0,372.33,275.46,864.0,1145.29,1017.42,11.0,17.14,18.01,3.0,8.29,12.9,19.0,24.81,24.24,10.0,13.86,13.48,510.0,455.76,334.8,20.0,47.57,58.57,12.0,17.43,14.1,10.0,18.14,17.21,1.0,3.95,6.4,5.0,24.86,38.79,50.0,68.52,55.07,14.0,25.14,27.04,20.0,24.24,27.45,44.8,51.0,21.11
Southampton,26.98,26.98,4.23,20.0,18.66,10.38,13.0,13.24,9.84,1178.0,1184.31,856.24,0.0,0.83,1.07,0.0,0.52,0.83,2.0,2.86,2.95,0.0,0.1,0.41,0.5,1.07,1.39,0.5,0.81,0.92,10.0,20.62,26.91,24.0,36.45,39.46,20.0,35.34,38.71,0.0,0.05,0.08,0.0,0.04,0.1,0.04,0.08,0.09,0.03,0.05,0.06,0.0,0.25,0.75,0.0,6.98,20.92,0.0,0.26,1.37,0.0,0.99,5.31,25.0,22.32,22.82,0.14,0.22,0.29,0.0,0.06,0.09,17.0,14.92,8.29,257.0,499.79,481.21,80.2,80.85,8.16,4218.0,8476.62,8576.58,90.9,89.6,7.08,89.5,85.36,10.85,55.2,51.84,19.55,5.0,8.83,9.45,13.0,32.24,39.48,5.0,7.0,7.76,1.0,1.86,2.6,15.0,20.03,20.13,1.37,1.41,0.85,1.0,1.38,1.88,0.06,0.11,0.14,13.0,20.41,19.73,7.0,11.83,11.31,13.0,18.24,14.5,10.0,9.38,7.02,8.0,13.38,14.92,2.0,5.9,9.14,5.0,7.48,8.0,5.0,9.62,12.26,457.0,726.79,636.27,42.0,93.66,170.64,161.0,265.34,322.23,198.0,313.41,308.4,131.0,154.34,149.29,15.0,21.86,20.86,6.0,22.83,32.38,42.3,42.48,29.84,42.4,38.45,29.43,253.0,406.9,363.25,599.0,1101.34,1119.56,9.0,15.24,18.8,1.0,5.1,7.59,10.0,14.93,15.03,5.0,11.14,13.77,349.0,494.34,436.35,20.0,35.34,38.71,12.0,14.76,13.43,8.0,13.66,15.76,0.0,1.52,2.63,6.0,17.62,26.86,23.0,46.0,44.26,8.0,14.62,20.92,8.0,12.66,13.74,54.5,54.45,22.8
Tottenham,25.64,25.66,4.54,22.0,19.33,9.23,16.0,14.22,8.09,1300.0,1277.78,694.57,1.0,2.22,3.25,1.0,1.7,2.38,2.0,2.44,2.33,0.0,0.04,0.19,0.7,2.1,2.91,0.9,1.58,2.02,18.0,29.52,29.12,49.0,56.93,47.13,31.0,56.52,69.3,0.06,0.13,0.19,0.07,0.12,0.15,0.06,0.14,0.17,0.08,0.11,0.11,0.0,0.2,0.58,0.0,7.04,20.38,0.0,2.1,6.24,0.0,0.0,0.0,33.3,29.26,20.95,0.29,0.4,0.4,0.05,0.07,0.08,16.7,14.59,7.1,703.0,581.11,373.35,84.8,80.47,8.38,10567.0,9644.85,6442.94,91.0,89.21,6.9,89.8,84.44,11.12,55.6,54.43,14.82,7.0,13.52,17.69,39.0,45.11,39.49,8.0,13.37,16.64,1.0,3.04,5.12,18.0,31.37,36.52,1.57,1.95,1.51,2.0,3.81,4.6,0.19,0.25,0.25,14.0,22.85,20.78,9.0,14.48,14.0,14.0,20.67,17.76,9.0,10.26,8.6,15.0,15.15,12.25,5.0,5.26,5.23,9.0,9.89,9.33,10.0,10.78,10.82,892.0,847.93,515.95,60.0,86.33,119.4,228.0,275.19,231.31,393.0,358.7,259.82,168.0,222.33,227.99,24.0,35.89,42.51,19.0,28.52,29.71,41.4,42.66,26.38,48.3,41.05,25.09,588.0,528.15,309.81,1526.0,1462.74,859.13,18.0,19.85,17.06,4.0,8.7,12.01,16.0,18.41,18.21,11.0,14.74,16.39,629.0,576.41,339.17,31.0,56.52,69.3,10.0,15.07,13.22,11.0,16.96,15.3,1.0,2.19,3.19,13.0,26.85,42.58,59.0,57.67,41.02,9.0,14.63,14.08,11.0,14.93,14.17,51.4,51.07,23.39
West Ham,28.34,28.62,5.01,20.0,21.56,8.53,14.0,15.4,10.86,1070.0,1381.52,914.39,0.0,1.48,2.6,1.0,0.96,1.51,2.0,2.96,2.65,0.0,0.12,0.33,1.2,1.78,2.25,1.1,1.26,1.4,11.0,22.92,30.37,31.0,45.0,41.31,25.0,44.64,57.79,0.0,0.08,0.13,0.03,0.07,0.14,0.07,0.14,0.16,0.08,0.1,0.1,0.0,0.13,0.47,0.0,5.5,19.11,0.0,1.36,4.72,0.0,0.0,0.0,25.0,21.89,14.91,0.23,0.38,0.41,0.0,0.04,0.06,15.7,16.37,7.28,517.0,533.44,408.44,79.9,78.42,7.8,8610.0,9381.76,7369.59,89.7,88.68,6.97,85.6,83.25,10.62,53.7,54.14,15.91,9.0,12.2,12.38,37.0,39.32,33.53,4.0,10.0,12.7,1.0,2.6,3.58,19.0,30.16,30.76,2.31,2.19,1.48,1.0,2.28,3.2,0.1,0.13,0.17,17.0,23.6,20.82,11.0,14.0,12.33,21.0,19.68,15.69,8.0,9.24,7.74,14.0,16.64,13.41,4.0,6.28,8.23,9.0,10.36,8.04,8.0,12.24,14.77,668.0,830.56,599.24,39.0,107.88,177.89,196.0,304.12,314.95,366.0,355.88,288.75,118.0,178.52,184.73,23.0,30.88,38.86,11.0,28.8,45.47,45.2,47.42,22.38,45.5,37.24,21.97,321.0,421.8,318.09,714.0,1077.4,937.07,10.0,14.56,16.62,2.0,6.48,13.17,12.0,18.28,19.69,6.0,14.68,22.25,459.0,529.56,390.62,25.0,44.64,57.79,15.0,16.28,14.26,11.0,15.12,17.68,1.0,2.8,4.28,13.0,22.4,27.52,43.0,57.16,47.97,10.0,21.68,27.43,12.0,20.84,19.48,50.0,51.14,16.74
Wolves,26.86,27.68,3.99,26.0,22.78,8.92,15.0,16.65,10.91,1364.0,1495.22,875.62,1.0,2.17,3.94,1.0,1.7,2.22,2.0,3.22,2.75,0.0,0.09,0.29,0.8,1.76,2.48,0.9,1.4,1.78,12.0,23.57,27.79,31.0,45.91,41.1,28.0,45.26,47.76,0.07,0.12,0.17,0.04,0.1,0.13,0.08,0.11,0.12,0.07,0.08,0.08,0.0,0.18,0.6,0.0,5.37,17.79,0.0,1.13,5.4,0.0,1.45,6.94,27.8,27.93,18.47,0.23,0.35,0.4,0.06,0.09,0.12,17.4,16.48,7.5,484.0,563.57,411.4,80.4,77.84,8.72,9479.0,9615.91,6491.22,90.4,88.33,6.92,86.5,84.84,9.38,56.0,52.45,15.72,10.0,12.39,12.48,26.0,39.26,33.25,4.0,10.83,12.68,1.0,2.78,3.49,21.0,29.52,28.05,1.71,1.78,1.06,3.0,3.91,4.14,0.18,0.25,0.24,21.0,32.09,28.2,13.0,18.91,17.58,19.0,26.83,23.6,8.0,12.22,13.3,16.0,18.04,12.61,4.0,5.87,6.05,10.0,12.17,10.44,9.0,12.09,9.83,756.0,875.83,572.26,59.0,103.43,151.45,304.0,311.09,256.91,329.0,393.65,316.28,124.0,181.74,186.29,23.0,28.3,31.85,14.0,28.39,34.83,45.3,40.3,24.88,40.0,39.22,25.16,390.0,480.61,307.35,1038.0,1328.7,911.07,13.0,17.91,21.83,3.0,5.7,8.69,16.0,23.04,22.74,11.0,14.43,15.29,482.0,559.22,370.76,28.0,45.26,47.76,15.0,19.78,17.5,10.0,16.91,17.09,1.0,2.52,3.31,10.0,21.65,30.69,43.0,65.61,50.69,10.0,17.74,17.53,16.0,19.04,19.67,40.7,46.16,23.2
